bhk,type,area,price,status,age,latitude,longitude
3,0.2,685,2.5,1,1.0,19.1111517,72.8428959
2,0.2,640,0.5251,0,1.0,19.018051,72.845021
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
2,0.2,876,0.5998,0,1.0,18.96904755,72.82118225
2,0.2,659,0.9411,0,1.0,19.283337,72.884026
2,0.2,826,3.3,0,1.0,19.1918304,72.8427537
5,0.6,2921,1.99,0,1.0,18.96904755,72.82118225
3,0.2,778,2.89,0,1.0,19.0656475,72.8758072
1,0.2,396,0.2984,1,1.0,19.1587105,73.235199
2,0.2,671,2.72,0,1.0,18.94595909,72.83378601
1,0.0,502,0.1656,0,1.0,19.1101315,72.829636
2,0.2,950,0.4175,0,1.0,18.7987175,73.3327179
3,0.2,753,1.77,0,1.0,19.05169619,72.87250927
2,0.2,605,1.55,0,1.0,19.14750481,72.84277344
1,0.2,557,0.585,0,1.0,19.43065643,72.96487427
2,0.2,635,0.83,0,1.0,19.02627373,73.09680939
1,0.2,450,1.39,0,1.0,19.1174647,72.9091113
3,0.2,1259,2.8,1,1.0,19.10911233,73.00795882
2,0.2,555,1.42,0,1.0,19.2173091,72.9818217
3,0.2,1274,4.2,0,1.0,19.11212158,72.86767578
2,0.2,582,1.49,0,1.0,19.1096186,72.9269927
1,0.2,483,0.37520000000000003,0,1.0,18.96904755,72.82118225
1,0.2,320,0.6990000000000001,0,1.0,19.0574987,72.9007208
1,0.2,396,0.4299,0,1.0,19.2215607,72.9661429
2,0.2,638,1.26,0,1.0,18.96904755,72.82118225
2,0.2,1047,0.49579999999999996,0,1.0,19.185977,73.224184
2,0.2,1080,0.5724,1,1.0,18.96904755,72.82118225
2,0.2,555,1.31,0,1.0,19.2154693,72.8537927
1,0.2,261,0.475,0,1.0,18.9967172,73.1198644
2,0.2,594,0.345,1,1.0,18.96904755,72.82118225
1,0.2,445,0.3414,0,1.0,19.4137321,72.8157423
1,0.2,409,0.32,0,1.0,18.997945,73.128749
4,0.2,1874,2.7,0,1.0,18.96904755,72.82118225
1,0.2,450,0.5499,0,1.0,18.97606277,73.05229187
3,0.2,859,1.37,0,1.0,18.96904755,72.82118225
2,0.2,720,1.31,0,1.0,19.1899526,72.9436475
1,0.2,404,0.58,0,1.0,19.0249958,73.09351349
2,0.2,604,1.44,0,1.0,19.1112464,72.8782931
3,0.2,1116,2.85,0,1.0,19.1681064,72.9478388
1,0.4,701,0.3099,0,1.0,19.1887328,72.8568291
3,0.2,902,2.59,0,1.0,19.1676731,72.8499316
2,0.2,990,0.4545,0,1.0,19.212625,72.8374698
1,0.2,313,0.2756,0,1.0,19.246275,72.8714636
1,0.2,409,0.3015,0,1.0,18.96904755,72.82118225
2,0.2,560,1.32,0,1.0,19.1760331,72.9381391
1,0.2,448,1.34,0,1.0,19.07371902,72.9123764
1,0.2,386,0.2796,1,1.0,19.171201,73.114269
2,0.2,539,0.4621,0,1.0,19.19454765,73.19081879
3,0.2,1625,1.45,1,1.0,18.97606277,73.05229187
3,0.2,685,2.5,1,1.0,19.1111517,72.8428959
2,0.2,640,0.5251,0,1.0,19.018051,72.845021
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
2,0.2,876,0.5998,0,1.0,18.96904755,72.82118225
2,0.2,659,0.9411,0,1.0,19.283337,72.884026
2,0.2,826,3.3,0,1.0,19.1918304,72.8427537
5,0.6,2921,1.99,0,1.0,18.96904755,72.82118225
3,0.2,778,2.89,0,1.0,19.0656475,72.8758072
1,0.2,396,0.2984,1,1.0,19.1587105,73.235199
2,0.2,739,2.95,0,1.0,18.94595909,72.83378601
1,0.2,635,0.2095,0,1.0,19.1101315,72.829636
2,0.2,950,0.4175,0,1.0,18.7987175,73.3327179
3,0.2,753,1.77,0,1.0,19.05169619,72.87250927
2,0.2,605,1.55,0,1.0,19.14750481,72.84277344
1,0.2,477,0.51,0,1.0,19.43065643,72.96487427
2,0.2,635,0.83,0,1.0,19.02627373,73.09680939
1,0.2,450,1.39,0,1.0,19.1174647,72.9091113
3,0.2,1259,2.8,1,1.0,19.10911233,73.00795882
2,0.2,515,1.24,0,1.0,19.2173091,72.9818217
3,0.2,1274,4.2,0,1.0,19.11212158,72.86767578
2,0.2,582,1.49,0,1.0,19.1096186,72.9269927
2,0.2,720,0.5707,0,1.0,18.96904755,72.82118225
1,0.2,320,0.6990000000000001,0,1.0,19.0574987,72.9007208
1,0.2,396,0.4299,0,1.0,19.2215607,72.9661429
1,0.2,465,0.9,0,1.0,18.96904755,72.82118225
2,0.2,1047,0.49579999999999996,0,1.0,19.185977,73.224184
2,0.2,1080,0.5724,1,1.0,18.96904755,72.82118225
2,0.2,555,1.31,0,1.0,19.2154693,72.8537927
1,0.2,261,0.47490000000000004,0,1.0,18.9967172,73.1198644
2,0.2,528,0.315,1,1.0,18.96904755,72.82118225
2,0.2,586,0.45030000000000003,0,1.0,19.4137321,72.8157423
2,0.2,563,0.42,0,1.0,18.997945,73.128749
2,0.2,990,1.51,0,1.0,18.96904755,72.82118225
2,0.2,709,1.14,0,1.0,18.96904755,72.82118225
4,0.2,1300,2.54,0,1.0,19.1899526,72.9436475
2,0.2,628,0.9,0,1.0,19.0249958,73.09351349
2,0.2,587,1.4,0,1.0,19.1112464,72.8782931
3,0.2,1056,2.45,0,1.0,19.1681064,72.9478388
1,0.4,701,0.3099,0,1.0,19.1887328,72.8568291
3,0.2,902,2.59,0,1.0,19.1676731,72.8499316
1,0.2,695,0.318,0,1.0,19.212625,72.8374698
1,0.2,313,0.2756,0,1.0,19.246275,72.8714636
1,0.0,270,0.2039,0,1.0,18.96904755,72.82118225
2,0.2,625,1.47,0,1.0,19.1760331,72.9381391
2,0.2,639,1.91,0,1.0,19.07371902,72.9123764
2,0.2,614,0.44439999999999996,1,1.0,19.171201,73.114269
1,0.2,365,0.2902,0,1.0,19.19454765,73.19081879
1,0.2,750,0.57,0,1.0,18.964957,73.023179
1,0.2,425,0.33490000000000003,0,1.0,19.018051,72.845021
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
1,0.2,473,0.6965,0,1.0,19.283337,72.884026
1,0.2,425,0.33490000000000003,0,1.0,19.018051,72.845021
2,0.2,618,0.505,0,1.0,19.018051,72.845021
2,0.2,618,0.505,0,1.0,19.018051,72.845021
1,0.2,430,0.34909999999999997,0,1.0,19.018051,72.845021
1,0.2,430,0.34909999999999997,0,1.0,19.018051,72.845021
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
2,0.2,610,1.73,0,1.0,19.1555943,72.8552537
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
3,0.2,845,2.35,0,1.0,19.1555943,72.8552537
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
1,0.2,425,0.36,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
2,0.2,651,0.56,0,1.0,18.96904755,72.82118225
1,0.2,473,0.6965,0,1.0,19.283337,72.884026
3,0.2,946,1.38,0,1.0,19.283337,72.884026
3,0.2,946,1.38,0,1.0,19.283337,72.884026
